order_id,customer_id,order_ts,amount,currency,items
O-1081,C-045,2026-01-31T20:54:51,138.47,EUR,SKU-109:3:6.50|SKU-106:1:59.00|SKU-107:3:19.99
O-1029,C-017,2026-01-31T21:38:42,94.30,EUR,SKU-104:2:39.90|SKU-102:1:14.50
O-1082,C-045,2026-02-03T13:05:59,196.98,EUR,SKU-106:3:59.00|SKU-101:2:9.99
O-1064,C-036,2026-02-08T10:55:50,63.48,EUR,SKU-101:2:9.99|SKU-102:3:14.50
O-1056,C-030,2026-02-10T14:55:40,53.50,EUR,SKU-105:2:12.25|SKU-102:2:14.50
O-1057,C-030,2026-02-17T14:50:43,54.48,EUR,SKU-102:1:14.50|SKU-107:2:19.99
O-1083,C-045,2026-02-17T20:32:29,88.00,EUR,SKU-110:2:44.00
O-1069,C-038,2026-02-20T11:40:30,196.50,EUR,SKU-109:3:6.50|SKU-106:3:59.00
O-1100,C-053,2026-02-21T10:53:12,119.70,EUR,SKU-104:3:39.90
O-1075,C-042,2026-02-21T18:28:17,163.05,EUR,SKU-104:2:39.90|SKU-112:3:27.75
O-1076,C-042,2026-02-24T10:53:39,64.40,EUR,SKU-104:1:39.90|SKU-105:2:12.25
O-1091,C-050,2026-02-24T17:07:14,191.24,EUR,SKU-107:1:19.99|SKU-112:3:27.75|SKU-110:2:44.00
O-1101,C-053,2026-02-24T17:41:54,131.25,EUR,SKU-105:1:12.25|SKU-111:1:119.00
O-1092,C-050,2026-02-25T14:15:14,106.73,EUR,SKU-101:2:9.99|SKU-106:1:59.00|SKU-112:1:27.75
O-1046,C-027,2026-02-26T20:39:50,93.00,EUR,SKU-102:1:14.50|SKU-109:1:6.50|SKU-103:3:24.00
O-1035,C-019,2026-02-27T16:01:43,14.50,EUR,SKU-102:1:14.50
O-1001,C-001,2026-02-28T10:01:27,48.00,EUR,SKU-103:2:24.00
O-1036,C-020,2026-02-28T11:39:19,653.00,EUR,SKU-102:2:14.50|SKU-108:3:89.00|SKU-111:3:119.00
O-1058,C-031,2026-02-28T12:24:29,326.00,EUR,SKU-106:1:59.00|SKU-108:3:89.00
O-1098,C-052,2026-03-01T19:23:54,118.00,EUR,SKU-106:2:59.00
O-1077,C-042,2026-03-03T21:26:06,132.00,EUR,SKU-110:3:44.00
O-1020,C-014,2026-03-04T09:40:20,80.75,EUR,SKU-105:3:12.25|SKU-110:1:44.00
O-1112,C-059,2026-03-05T08:41:08,63.98,EUR,SKU-107:2:19.99|SKU-103:1:24.00
O-1080,C-043,2026-03-07T16:32:57,87.25,EUR,SKU-112:2:27.75|SKU-105:1:12.25|SKU-109:3:6.50
O-1021,C-014,2026-03-09T17:48:39,106.97,EUR,SKU-102:2:14.50|SKU-103:2:24.00|SKU-101:3:9.99
O-1047,C-027,2026-03-15T16:41:52,340.50,EUR,SKU-111:2:119.00|SKU-106:1:59.00|SKU-102:3:14.50
O-1078,C-042,2026-03-15T18:36:51,430.20,EUR,SKU-102:3:14.50|SKU-108:3:89.00|SKU-104:3:39.90
O-1093,C-050,2026-03-18T16:46:48,12.25,EUR,SKU-105:1:12.25
O-1017,C-013,2026-03-21T19:16:55,83.00,EUR,SKU-110:1:44.00|SKU-105:2:12.25|SKU-102:1:14.50
O-1030,C-018,2026-03-22T13:54:42,24.00,EUR,SKU-103:1:24.00
O-1039,C-024,2026-03-22T17:39:53,416.00,EUR,SKU-108:2:89.00|SKU-111:2:119.00
O-1018,C-013,2026-03-23T13:15:46,238.00,EUR,SKU-111:2:119.00
O-1013,C-011,2026-03-24T11:14:54,67.75,EUR,SKU-112:2:27.75|SKU-105:1:12.25
O-1061,C-034,2026-03-26T08:27:04,253.00,EUR,SKU-112:2:27.75|SKU-108:2:89.00|SKU-109:3:6.50
O-1071,C-039,2026-03-27T08:22:11,13.00,EUR,SKU-109:2:6.50
O-1102,C-054,2026-03-29T15:44:27,305.50,EUR,SKU-103:1:24.00|SKU-108:3:89.00|SKU-102:1:14.50
O-1050,C-029,2026-03-29T20:50:07,326.00,EUR,SKU-111:2:119.00|SKU-110:2:44.00
O-1079,C-042,2026-03-30T11:29:34,102.00,EUR,SKU-109:2:6.50|SKU-108:1:89.00
O-1031,C-018,2026-03-31T09:44:29,257.98,EUR,SKU-111:2:119.00|SKU-101:2:9.99
O-1104,C-055,2026-04-03T12:49:40,59.00,EUR,SKU-106:1:59.00
O-1032,C-018,2026-04-03T15:25:34,148.70,EUR,SKU-102:2:14.50|SKU-104:3:39.90
O-1022,C-014,2026-04-03T18:18:37,14.50,EUR,SKU-102:1:14.50
O-1051,C-029,2026-04-04T21:35:57,79.80,EUR,SKU-104:2:39.90
O-1085,C-047,2026-04-05T12:21:11,118.00,EUR,SKU-106:2:59.00
O-1095,C-051,2026-04-14T14:30:40,326.00,EUR,SKU-108:3:89.00|SKU-106:1:59.00
O-1059,C-031,2026-04-15T08:41:45,177.97,EUR,SKU-107:3:19.99|SKU-106:2:59.00
O-1023,C-014,2026-04-15T10:55:34,68.50,EUR,SKU-109:2:6.50|SKU-112:2:27.75
O-1105,C-055,2026-04-17T12:53:03,43.99,EUR,SKU-107:1:19.99|SKU-103:1:24.00
O-1008,C-009,2026-04-17T14:18:12,335.90,EUR,SKU-104:1:39.90|SKU-102:2:14.50|SKU-108:3:89.00
O-1094,C-050,2026-04-18T15:36:30,89.00,EUR,SKU-108:1:89.00
O-1040,C-025,2026-04-19T11:51:59,94.37,EUR,SKU-105:2:12.25|SKU-101:3:9.99|SKU-104:1:39.90
O-1014,C-011,2026-04-20T09:52:34,147.45,EUR,SKU-112:1:27.75|SKU-104:3:39.90
O-1086,C-049,2026-04-21T18:46:59,332.50,EUR,SKU-109:1:6.50|SKU-110:2:44.00|SKU-111:2:119.00
O-1113,C-059,2026-04-23T13:33:23,123.80,EUR,SKU-110:1:44.00|SKU-104:2:39.90
O-1052,C-029,2026-04-23T14:01:00,89.79,EUR,SKU-104:2:39.90|SKU-101:1:9.99
O-1015,C-011,2026-04-24T17:55:57,39.97,EUR,SKU-101:2:9.99|SKU-107:1:19.99
O-1060,C-031,2026-04-26T11:11:02,294.75,EUR,SKU-112:1:27.75|SKU-108:3:89.00
O-1019,C-013,2026-04-28T08:39:43,29.00,EUR,SKU-102:2:14.50
O-1048,C-027,2026-04-30T13:22:37,357.00,EUR,SKU-111:3:119.00
O-1053,C-029,2026-04-30T21:46:49,160.75,EUR,SKU-108:1:89.00|SKU-112:1:27.75|SKU-110:1:44.00
O-1004,C-003,2026-05-01T15:41:10,79.80,EUR,SKU-104:2:39.90
O-1072,C-039,2026-05-03T18:08:50,178.00,EUR,SKU-108:2:89.00
O-1096,C-051,2026-05-03T20:38:01,88.00,EUR,SKU-110:2:44.00
O-1041,C-025,2026-05-04T08:33:57,231.48,EUR,SKU-106:3:59.00|SKU-102:1:14.50|SKU-107:2:19.99
O-1087,C-049,2026-05-04T14:59:50,290.25,EUR,SKU-108:1:89.00|SKU-106:2:59.00|SKU-112:3:27.75
O-1007,C-008,2026-05-07T14:55:38,119.00,EUR,SKU-111:1:119.00
O-1065,C-036,2026-05-08T11:39:38,98.96,EUR,SKU-101:1:9.99|SKU-102:2:14.50|SKU-107:3:19.99
O-1033,C-018,2026-05-08T11:42:03,116.00,EUR,SKU-103:2:24.00|SKU-102:3:14.50|SKU-105:2:12.25
O-1107,C-058,2026-05-08T12:57:00,44.00,EUR,SKU-110:1:44.00
O-1009,C-009,2026-05-09T15:43:15,24.00,EUR,SKU-103:1:24.00
O-1088,C-049,2026-05-10T19:31:06,27.75,EUR,SKU-112:1:27.75
O-1108,C-058,2026-05-13T11:31:39,137.89,EUR,SKU-110:2:44.00|SKU-101:1:9.99|SKU-104:1:39.90
O-1010,C-009,2026-05-17T11:27:24,39.98,EUR,SKU-107:2:19.99
O-1068,C-037,2026-05-17T18:48:35,98.98,EUR,SKU-106:1:59.00|SKU-107:2:19.99
O-1049,C-028,2026-05-18T13:03:29,24.00,EUR,SKU-103:1:24.00
O-1070,C-038,2026-05-18T19:21:33,29.00,EUR,SKU-102:2:14.50
O-1024,C-014,2026-05-19T10:39:45,118.00,EUR,SKU-106:2:59.00
O-1097,C-051,2026-05-28T08:10:36,238.00,EUR,SKU-111:2:119.00
O-1066,C-036,2026-05-31T13:51:21,83.48,EUR,SKU-102:3:14.50|SKU-107:2:19.99
O-1025,C-014,2026-05-31T19:33:48,49.47,EUR,SKU-109:3:6.50|SKU-101:3:9.99
O-1026,C-014,2026-06-02T11:36:13,116.75,EUR,SKU-112:1:27.75|SKU-108:1:89.00
O-1054,C-029,2026-06-03T22:00:44,289.90,EUR,SKU-106:2:59.00|SKU-104:1:39.90|SKU-110:3:44.00
O-1067,C-036,2026-06-09T18:41:42,119.70,EUR,SKU-104:3:39.90
O-1034,C-018,2026-06-09T21:32:29,341.24,EUR,SKU-112:3:27.75|SKU-111:2:119.00|SKU-107:1:19.99
O-1089,C-049,2026-06-11T10:43:25,79.80,EUR,SKU-104:2:39.90
O-1109,C-058,2026-06-12T21:31:48,39.90,EUR,SKU-104:1:39.90
O-1114,C-059,2026-06-12T21:58:02,83.25,EUR,SKU-112:3:27.75
O-1110,C-058,2026-06-13T11:56:06,238.00,EUR,SKU-111:2:119.00
O-1038,C-023,2026-06-14T09:50:56,39.98,EUR,SKU-107:2:19.99
O-1042,C-025,2026-06-14T13:07:31,145.75,EUR,SKU-112:1:27.75|SKU-106:2:59.00
O-1027,C-014,2026-06-14T18:42:04,252.50,EUR,SKU-102:1:14.50|SKU-111:2:119.00
O-1090,C-049,2026-06-18T20:48:13,89.00,EUR,SKU-108:1:89.00
O-1043,C-025,2026-06-21T20:16:03,118.30,EUR,SKU-103:1:24.00|SKU-104:2:39.90|SKU-102:1:14.50
O-1011,C-009,2026-06-25T11:34:38,366.75,EUR,SKU-103:3:24.00|SKU-108:3:89.00|SKU-112:1:27.75
O-1016,C-012,2026-06-29T09:23:08,375.50,EUR,SKU-109:3:6.50|SKU-106:2:59.00|SKU-111:2:119.00
O-1115,C-059,2026-06-30T13:40:29,44.00,EUR,SKU-110:1:44.00
