event_id,customer_id,event_ts,event_type
E-520,C-030,2026-01-23T19:30:00,login
E-521,C-030,2026-01-23T19:30:23,view_product
E-277,C-017,2026-01-24T20:16:00,login
E-278,C-017,2026-01-24T20:17:05,view_product
E-279,C-017,2026-01-24T20:17:30,view_product
E-280,C-017,2026-01-24T20:18:27,view_product
E-383,C-024,2026-01-25T11:54:00,login
E-384,C-024,2026-01-25T11:55:02,view_product
E-385,C-024,2026-01-25T11:55:31,view_product
E-386,C-024,2026-01-25T11:56:21,view_product
E-11,C-002,2026-01-25T12:14:24,view_product
E-12,C-002,2026-01-25T12:14:46,view_product
E-13,C-002,2026-01-25T12:15:41,view_product
E-14,C-002,2026-01-25T12:16:28,add_to_cart
E-15,C-002,2026-01-25T12:17:55,checkout
E-357,C-021,2026-01-25T16:15:21,view_product
E-358,C-021,2026-01-25T16:16:12,add_to_cart
E-811,C-045,2026-01-25T17:42:00,login
E-812,C-045,2026-01-25T17:42:17,view_product
E-813,C-045,2026-01-25T17:42:58,view_product
E-720,C-041,2026-01-27T08:18:00,login
E-721,C-041,2026-01-27T08:19:08,view_product
E-722,C-041,2026-01-27T08:19:42,add_to_cart
E-723,C-041,2026-01-27T08:20:50,checkout
E-522,C-030,2026-01-27T15:02:00,login
E-523,C-030,2026-01-27T15:02:40,view_product
E-433,C-026,2026-01-28T15:43:56,view_product
E-434,C-026,2026-01-28T15:44:51,view_product
E-435,C-026,2026-01-28T15:45:25,view_product
E-436,C-026,2026-01-28T15:46:05,add_to_cart
E-437,C-026,2026-01-28T15:47:03,checkout
E-135,C-010,2026-01-28T18:27:00,login
E-136,C-010,2026-01-28T18:27:38,view_product
E-137,C-010,2026-01-28T18:27:59,view_product
E-138,C-010,2026-01-28T18:28:29,add_to_cart
E-139,C-010,2026-01-28T18:29:30,checkout
E-969,C-053,2026-01-28T20:52:00,login
E-970,C-053,2026-01-28T20:52:33,view_product
E-971,C-053,2026-01-28T20:53:19,add_to_cart
E-972,C-053,2026-01-28T20:55:02,checkout
E-1083,C-059,2026-01-29T17:28:18,view_product
E-1084,C-059,2026-01-29T17:28:36,view_product
E-1085,C-059,2026-01-29T17:29:13,add_to_cart
E-1086,C-059,2026-01-29T17:30:00,checkout
E-365,C-022,2026-01-29T17:33:00,login
E-366,C-022,2026-01-29T17:34:10,view_product
E-367,C-022,2026-01-29T17:34:37,view_product
E-368,C-022,2026-01-29T17:35:06,view_product
E-438,C-026,2026-01-30T09:19:00,login
E-439,C-026,2026-01-30T09:19:22,view_product
E-440,C-026,2026-01-30T09:19:50,add_to_cart
E-441,C-026,2026-01-30T09:20:21,checkout
E-16,C-002,2026-01-30T09:54:00,login
E-17,C-002,2026-01-30T09:54:23,view_product
E-18,C-002,2026-01-30T09:55:08,view_product
E-19,C-002,2026-01-30T09:56:14,view_product
E-20,C-002,2026-01-30T09:57:00,add_to_cart
E-21,C-002,2026-01-30T09:58:36,checkout
E-837,C-046,2026-01-30T16:05:00,login
E-838,C-046,2026-01-30T16:06:04,view_product
E-839,C-046,2026-01-30T16:06:20,view_product
E-840,C-046,2026-01-30T16:06:54,add_to_cart
E-743,C-042,2026-01-30T18:33:00,login
E-744,C-042,2026-01-30T18:33:50,view_product
E-745,C-042,2026-01-30T18:34:12,view_product
E-1125,C-060,2026-01-30T19:35:00,login
E-1126,C-060,2026-01-30T19:36:00,view_product
E-1127,C-060,2026-01-30T19:36:43,view_product
E-1128,C-060,2026-01-30T19:38:13,view_product
E-1048,C-056,2026-01-31T09:03:07,view_product
E-1049,C-056,2026-01-31T09:04:09,view_product
E-1050,C-056,2026-01-31T09:05:22,view_product
E-22,C-002,2026-01-31T14:42:00,login
E-23,C-002,2026-01-31T14:42:55,view_product
E-24,C-002,2026-01-31T14:43:43,view_product
E-25,C-002,2026-01-31T14:44:24,view_product
E-562,C-033,2026-01-31T19:59:00,login
E-563,C-033,2026-01-31T20:00:01,view_product
E-564,C-033,2026-01-31T20:00:18,add_to_cart
E-814,C-045,2026-01-31T20:52:00,login
E-815,C-045,2026-01-31T20:52:24,view_product
E-816,C-045,2026-01-31T20:53:17,view_product
E-817,C-045,2026-01-31T20:53:42,add_to_cart
E-818,C-045,2026-01-31T20:54:51,checkout
E-140,C-010,2026-01-31T21:05:00,login
E-141,C-010,2026-01-31T21:06:24,view_product
E-142,C-010,2026-01-31T21:06:45,view_product
E-143,C-010,2026-01-31T21:07:44,view_product
E-144,C-010,2026-01-31T21:07:58,add_to_cart
E-281,C-017,2026-01-31T21:34:00,login
E-282,C-017,2026-01-31T21:35:17,view_product
E-283,C-017,2026-01-31T21:36:41,view_product
E-284,C-017,2026-01-31T21:36:55,add_to_cart
E-285,C-017,2026-01-31T21:38:42,checkout
E-819,C-045,2026-02-03T13:03:00,login
E-820,C-045,2026-02-03T13:03:24,view_product
E-821,C-045,2026-02-03T13:04:23,add_to_cart
E-822,C-045,2026-02-03T13:05:59,checkout
E-596,C-036,2026-02-05T09:03:00,login
E-597,C-036,2026-02-05T09:04:08,view_product
E-598,C-036,2026-02-05T09:04:54,view_product
E-256,C-015,2026-02-05T14:12:32,view_product
E-257,C-015,2026-02-05T14:12:55,view_product
E-258,C-015,2026-02-05T14:13:45,view_product
E-746,C-042,2026-02-06T18:27:00,login
E-747,C-042,2026-02-06T18:27:59,view_product
E-973,C-053,2026-02-07T10:58:00,login
E-974,C-053,2026-02-07T10:59:11,view_product
E-975,C-053,2026-02-07T10:59:53,view_product
E-976,C-053,2026-02-07T11:00:19,view_product
E-963,C-052,2026-02-07T15:04:00,login
E-964,C-052,2026-02-07T15:05:21,view_product
E-45,C-006,2026-02-08T09:04:34,view_product
E-46,C-006,2026-02-08T09:05:58,view_product
E-47,C-006,2026-02-08T09:06:17,view_product
E-1,C-001,2026-02-08T09:28:27,view_product
E-2,C-001,2026-02-08T09:28:48,view_product
E-3,C-001,2026-02-08T09:30:12,view_product
E-599,C-036,2026-02-08T10:52:00,login
E-600,C-036,2026-02-08T10:52:55,view_product
E-601,C-036,2026-02-08T10:53:34,view_product
E-602,C-036,2026-02-08T10:54:09,view_product
E-603,C-036,2026-02-08T10:54:51,add_to_cart
E-604,C-036,2026-02-08T10:55:50,checkout
E-783,C-043,2026-02-08T19:50:00,login
E-784,C-043,2026-02-08T19:51:24,view_product
E-785,C-043,2026-02-08T19:52:08,add_to_cart
E-38,C-004,2026-02-09T12:38:00,login
E-39,C-004,2026-02-09T12:38:41,view_product
E-40,C-004,2026-02-09T12:39:29,view_product
E-41,C-004,2026-02-09T12:39:55,add_to_cart
E-524,C-030,2026-02-10T14:52:00,login
E-525,C-030,2026-02-10T14:52:19,view_product
E-526,C-030,2026-02-10T14:52:58,view_product
E-527,C-030,2026-02-10T14:53:57,add_to_cart
E-528,C-030,2026-02-10T14:55:40,checkout
E-347,C-020,2026-02-15T21:55:00,login
E-348,C-020,2026-02-15T21:55:15,view_product
E-349,C-020,2026-02-15T21:55:34,add_to_cart
E-786,C-043,2026-02-17T08:33:00,login
E-787,C-043,2026-02-17T08:33:21,view_product
E-529,C-030,2026-02-17T14:47:00,login
E-530,C-030,2026-02-17T14:47:58,view_product
E-531,C-030,2026-02-17T14:48:36,view_product
E-532,C-030,2026-02-17T14:49:17,add_to_cart
E-533,C-030,2026-02-17T14:50:43,checkout
E-823,C-045,2026-02-17T20:28:00,login
E-824,C-045,2026-02-17T20:29:25,view_product
E-825,C-045,2026-02-17T20:30:28,view_product
E-826,C-045,2026-02-17T20:31:21,add_to_cart
E-827,C-045,2026-02-17T20:32:29,checkout
E-788,C-043,2026-02-18T14:08:23,view_product
E-387,C-024,2026-02-18T20:52:00,login
E-388,C-024,2026-02-18T20:53:26,view_product
E-389,C-024,2026-02-18T20:53:44,view_product
E-390,C-024,2026-02-18T20:54:33,view_product
E-391,C-024,2026-02-18T20:55:00,add_to_cart
E-259,C-015,2026-02-18T21:26:00,login
E-260,C-015,2026-02-18T21:26:49,view_product
E-261,C-015,2026-02-18T21:27:04,view_product
E-262,C-015,2026-02-18T21:27:55,view_product
E-639,C-038,2026-02-20T11:35:00,login
E-640,C-038,2026-02-20T11:36:16,view_product
E-641,C-038,2026-02-20T11:37:38,view_product
E-642,C-038,2026-02-20T11:38:41,view_product
E-643,C-038,2026-02-20T11:39:02,add_to_cart
E-644,C-038,2026-02-20T11:40:30,checkout
E-898,C-050,2026-02-20T13:54:00,login
E-899,C-050,2026-02-20T13:54:53,view_product
E-977,C-053,2026-02-21T10:48:00,login
E-978,C-053,2026-02-21T10:49:04,view_product
E-979,C-053,2026-02-21T10:50:03,view_product
E-980,C-053,2026-02-21T10:51:12,view_product
E-981,C-053,2026-02-21T10:51:30,add_to_cart
E-982,C-053,2026-02-21T10:53:12,checkout
E-861,C-049,2026-02-21T12:15:00,login
E-862,C-049,2026-02-21T12:16:09,view_product
E-48,C-006,2026-02-21T17:35:00,login
E-49,C-006,2026-02-21T17:35:20,view_product
E-50,C-006,2026-02-21T17:36:20,add_to_cart
E-748,C-042,2026-02-21T18:24:00,login
E-749,C-042,2026-02-21T18:25:08,view_product
E-750,C-042,2026-02-21T18:26:15,view_product
E-751,C-042,2026-02-21T18:26:49,add_to_cart
E-752,C-042,2026-02-21T18:28:17,checkout
E-645,C-038,2026-02-22T18:42:16,view_product
E-646,C-038,2026-02-22T18:42:55,view_product
E-263,C-016,2026-02-22T21:09:00,login
E-264,C-016,2026-02-22T21:09:59,view_product
E-265,C-016,2026-02-22T21:10:56,view_product
E-322,C-019,2026-02-22T21:40:44,view_product
E-323,C-019,2026-02-22T21:41:33,add_to_cart
E-753,C-042,2026-02-24T10:51:00,login
E-754,C-042,2026-02-24T10:52:26,view_product
E-755,C-042,2026-02-24T10:53:02,add_to_cart
E-756,C-042,2026-02-24T10:53:39,checkout
E-647,C-038,2026-02-24T12:35:00,login
E-648,C-038,2026-02-24T12:35:51,view_product
E-649,C-038,2026-02-24T12:36:32,view_product
E-324,C-019,2026-02-24T16:20:23,view_product
E-266,C-016,2026-02-24T16:24:00,login
E-267,C-016,2026-02-24T16:24:39,view_product
E-268,C-016,2026-02-24T16:25:24,view_product
E-900,C-050,2026-02-24T17:05:00,login
E-901,C-050,2026-02-24T17:05:30,view_product
E-902,C-050,2026-02-24T17:06:15,view_product
E-903,C-050,2026-02-24T17:06:36,add_to_cart
E-904,C-050,2026-02-24T17:07:14,checkout
E-983,C-053,2026-02-24T17:38:00,login
E-984,C-053,2026-02-24T17:38:18,view_product
E-985,C-053,2026-02-24T17:39:11,view_product
E-986,C-053,2026-02-24T17:39:59,add_to_cart
E-987,C-053,2026-02-24T17:41:54,checkout
E-828,C-045,2026-02-24T20:15:00,login
E-829,C-045,2026-02-24T20:15:49,view_product
E-830,C-045,2026-02-24T20:16:44,add_to_cart
E-51,C-006,2026-02-25T08:57:00,login
E-52,C-006,2026-02-25T08:57:46,view_product
E-53,C-006,2026-02-25T08:58:14,view_product
E-54,C-006,2026-02-25T08:59:14,view_product
E-269,C-016,2026-02-25T11:54:00,login
E-270,C-016,2026-02-25T11:54:55,view_product
E-905,C-050,2026-02-25T14:11:00,login
E-906,C-050,2026-02-25T14:11:37,view_product
E-907,C-050,2026-02-25T14:13:03,view_product
E-908,C-050,2026-02-25T14:13:39,view_product
E-909,C-050,2026-02-25T14:13:57,add_to_cart
E-910,C-050,2026-02-25T14:15:14,checkout
E-442,C-027,2026-02-26T20:36:00,login
E-443,C-027,2026-02-26T20:37:15,view_product
E-444,C-027,2026-02-26T20:38:34,view_product
E-445,C-027,2026-02-26T20:38:47,add_to_cart
E-446,C-027,2026-02-26T20:39:50,checkout
E-325,C-019,2026-02-27T15:58:00,login
E-326,C-019,2026-02-27T15:59:07,view_product
E-327,C-019,2026-02-27T15:59:36,view_product
E-328,C-019,2026-02-27T16:00:08,view_product
E-329,C-019,2026-02-27T16:00:20,add_to_cart
E-330,C-019,2026-02-27T16:01:43,checkout
E-350,C-020,2026-02-27T16:16:00,login
E-351,C-020,2026-02-27T16:16:18,view_product
E-352,C-020,2026-02-27T16:16:50,add_to_cart
E-1051,C-057,2026-02-28T09:32:00,login
E-1052,C-057,2026-02-28T09:32:24,view_product
E-1053,C-057,2026-02-28T09:33:54,view_product
E-4,C-001,2026-02-28T09:59:00,login
E-5,C-001,2026-02-28T09:59:36,view_product
E-6,C-001,2026-02-28T10:00:16,add_to_cart
E-7,C-001,2026-02-28T10:01:27,checkout
E-353,C-020,2026-02-28T11:37:00,login
E-354,C-020,2026-02-28T11:37:48,view_product
E-355,C-020,2026-02-28T11:38:45,add_to_cart
E-356,C-020,2026-02-28T11:39:19,checkout
E-534,C-031,2026-02-28T12:20:00,login
E-535,C-031,2026-02-28T12:20:52,view_product
E-536,C-031,2026-02-28T12:21:46,view_product
E-537,C-031,2026-02-28T12:22:41,add_to_cart
E-538,C-031,2026-02-28T12:24:29,checkout
E-392,C-024,2026-02-28T12:58:00,login
E-393,C-024,2026-02-28T12:58:38,view_product
E-965,C-052,2026-03-01T19:21:31,view_product
E-966,C-052,2026-03-01T19:22:47,view_product
E-967,C-052,2026-03-01T19:23:21,add_to_cart
E-968,C-052,2026-03-01T19:23:54,checkout
E-394,C-024,2026-03-03T10:47:00,login
E-395,C-024,2026-03-03T10:47:26,view_product
E-757,C-042,2026-03-03T21:23:00,login
E-758,C-042,2026-03-03T21:23:39,view_product
E-759,C-042,2026-03-03T21:24:00,view_product
E-760,C-042,2026-03-03T21:24:49,view_product
E-761,C-042,2026-03-03T21:25:37,add_to_cart
E-762,C-042,2026-03-03T21:26:06,checkout
E-204,C-014,2026-03-04T09:35:00,login
E-205,C-014,2026-03-04T09:35:43,view_product
E-206,C-014,2026-03-04T09:37:04,view_product
E-207,C-014,2026-03-04T09:38:07,view_product
E-208,C-014,2026-03-04T09:38:45,add_to_cart
E-209,C-014,2026-03-04T09:40:20,checkout
E-1087,C-059,2026-03-05T08:39:00,login
E-1088,C-059,2026-03-05T08:39:52,view_product
E-1089,C-059,2026-03-05T08:40:37,add_to_cart
E-1090,C-059,2026-03-05T08:41:08,checkout
E-789,C-043,2026-03-07T16:29:00,login
E-790,C-043,2026-03-07T16:30:16,view_product
E-791,C-043,2026-03-07T16:31:33,view_product
E-792,C-043,2026-03-07T16:31:50,view_product
E-793,C-043,2026-03-07T16:32:35,add_to_cart
E-794,C-043,2026-03-07T16:32:57,checkout
E-210,C-014,2026-03-09T17:47:00,login
E-211,C-014,2026-03-09T17:47:42,view_product
E-212,C-014,2026-03-09T17:47:57,add_to_cart
E-213,C-014,2026-03-09T17:48:39,checkout
E-650,C-038,2026-03-11T13:35:50,view_product
E-651,C-038,2026-03-11T13:36:41,view_product
E-652,C-038,2026-03-11T13:37:11,view_product
E-214,C-014,2026-03-11T17:30:00,login
E-215,C-014,2026-03-11T17:30:51,view_product
E-68,C-007,2026-03-12T16:25:00,login
E-69,C-007,2026-03-12T16:25:57,view_product
E-70,C-007,2026-03-12T16:26:15,view_product
E-71,C-007,2026-03-12T16:26:44,view_product
E-396,C-024,2026-03-13T11:24:00,login
E-397,C-024,2026-03-13T11:24:35,view_product
E-398,C-024,2026-03-13T11:25:37,view_product
E-399,C-024,2026-03-13T11:26:07,add_to_cart
E-8,C-001,2026-03-13T12:59:00,login
E-9,C-001,2026-03-13T12:59:51,view_product
E-10,C-001,2026-03-13T13:01:00,view_product
E-539,C-031,2026-03-14T12:40:24,view_product
E-447,C-027,2026-03-15T16:39:00,login
E-448,C-027,2026-03-15T16:39:51,view_product
E-449,C-027,2026-03-15T16:40:55,view_product
E-450,C-027,2026-03-15T16:41:26,add_to_cart
E-451,C-027,2026-03-15T16:41:52,checkout
E-863,C-049,2026-03-15T17:30:00,login
E-864,C-049,2026-03-15T17:31:19,view_product
E-865,C-049,2026-03-15T17:32:27,view_product
E-866,C-049,2026-03-15T17:33:51,view_product
E-867,C-049,2026-03-15T17:34:24,add_to_cart
E-763,C-042,2026-03-15T18:35:00,login
E-764,C-042,2026-03-15T18:35:57,view_product
E-765,C-042,2026-03-15T18:36:07,add_to_cart
E-766,C-042,2026-03-15T18:36:51,checkout
E-653,C-038,2026-03-16T16:24:59,view_product
E-654,C-038,2026-03-16T16:25:32,view_product
E-655,C-038,2026-03-16T16:26:00,add_to_cart
E-452,C-027,2026-03-17T18:24:00,login
E-453,C-027,2026-03-17T18:24:34,view_product
E-454,C-027,2026-03-17T18:25:31,view_product
E-455,C-027,2026-03-17T18:25:56,view_product
E-911,C-050,2026-03-18T16:41:00,login
E-912,C-050,2026-03-18T16:42:17,view_product
E-913,C-050,2026-03-18T16:43:25,view_product
E-914,C-050,2026-03-18T16:44:36,view_product
E-915,C-050,2026-03-18T16:44:51,add_to_cart
E-916,C-050,2026-03-18T16:46:48,checkout
E-55,C-006,2026-03-20T10:59:37,view_product
E-540,C-031,2026-03-20T14:23:00,login
E-541,C-031,2026-03-20T14:23:35,view_product
E-542,C-031,2026-03-20T14:23:53,view_product
E-543,C-031,2026-03-20T14:24:26,view_product
E-845,C-048,2026-03-21T09:08:00,login
E-846,C-048,2026-03-21T09:08:57,view_product
E-847,C-048,2026-03-21T09:10:00,view_product
E-72,C-007,2026-03-21T12:11:00,login
E-73,C-007,2026-03-21T12:11:19,view_product
E-74,C-007,2026-03-21T12:11:47,view_product
E-187,C-013,2026-03-21T19:12:00,login
E-188,C-013,2026-03-21T19:13:23,view_product
E-189,C-013,2026-03-21T19:14:01,view_product
E-190,C-013,2026-03-21T19:14:40,view_product
E-191,C-013,2026-03-21T19:15:20,add_to_cart
E-192,C-013,2026-03-21T19:16:55,checkout
E-671,C-039,2026-03-21T19:46:37,view_product
E-672,C-039,2026-03-21T19:46:58,add_to_cart
E-724,C-041,2026-03-21T21:22:00,login
E-725,C-041,2026-03-21T21:23:05,view_product
E-726,C-041,2026-03-21T21:24:27,view_product
E-727,C-041,2026-03-21T21:24:58,view_product
E-848,C-048,2026-03-22T13:28:00,login
E-849,C-048,2026-03-22T13:28:32,view_product
E-850,C-048,2026-03-22T13:29:25,view_product
E-851,C-048,2026-03-22T13:30:21,view_product
E-286,C-018,2026-03-22T13:50:00,login
E-287,C-018,2026-03-22T13:51:02,view_product
E-288,C-018,2026-03-22T13:52:12,view_product
E-289,C-018,2026-03-22T13:52:55,add_to_cart
E-290,C-018,2026-03-22T13:54:42,checkout
E-400,C-024,2026-03-22T17:38:00,login
E-401,C-024,2026-03-22T17:38:34,view_product
E-402,C-024,2026-03-22T17:39:23,add_to_cart
E-403,C-024,2026-03-22T17:39:53,checkout
E-934,C-051,2026-03-23T09:08:22,view_product
E-935,C-051,2026-03-23T09:09:12,view_product
E-805,C-044,2026-03-23T10:05:00,login
E-806,C-044,2026-03-23T10:05:57,view_product
E-807,C-044,2026-03-23T10:07:24,view_product
E-193,C-013,2026-03-23T13:11:00,login
E-194,C-013,2026-03-23T13:12:23,view_product
E-195,C-013,2026-03-23T13:12:54,view_product
E-196,C-013,2026-03-23T13:13:44,view_product
E-197,C-013,2026-03-23T13:13:57,add_to_cart
E-198,C-013,2026-03-23T13:15:46,checkout
E-75,C-008,2026-03-23T17:12:00,login
E-76,C-008,2026-03-23T17:13:10,view_product
E-77,C-008,2026-03-23T17:13:25,view_product
E-78,C-008,2026-03-23T17:14:46,view_product
E-56,C-006,2026-03-24T08:11:00,login
E-57,C-006,2026-03-24T08:12:07,view_product
E-58,C-006,2026-03-24T08:12:53,view_product
E-59,C-006,2026-03-24T08:13:53,add_to_cart
E-145,C-011,2026-03-24T11:12:34,view_product
E-146,C-011,2026-03-24T11:13:19,view_product
E-147,C-011,2026-03-24T11:13:50,view_product
E-148,C-011,2026-03-24T11:14:07,add_to_cart
E-149,C-011,2026-03-24T11:14:54,checkout
E-831,C-045,2026-03-24T14:20:00,login
E-832,C-045,2026-03-24T14:20:15,view_product
E-565,C-034,2026-03-26T08:23:00,login
E-566,C-034,2026-03-26T08:24:14,view_product
E-567,C-034,2026-03-26T08:25:39,view_product
E-568,C-034,2026-03-26T08:25:54,add_to_cart
E-569,C-034,2026-03-26T08:27:04,checkout
E-673,C-039,2026-03-26T08:53:00,login
E-674,C-039,2026-03-26T08:53:38,view_product
E-675,C-039,2026-03-26T08:54:30,view_product
E-676,C-039,2026-03-27T08:19:00,login
E-677,C-039,2026-03-27T08:19:57,view_product
E-678,C-039,2026-03-27T08:20:48,add_to_cart
E-679,C-039,2026-03-27T08:22:11,checkout
E-936,C-051,2026-03-28T10:44:33,view_product
E-988,C-054,2026-03-29T15:40:00,login
E-989,C-054,2026-03-29T15:40:16,view_product
E-990,C-054,2026-03-29T15:41:17,view_product
E-991,C-054,2026-03-29T15:42:12,view_product
E-992,C-054,2026-03-29T15:42:58,add_to_cart
E-993,C-054,2026-03-29T15:44:27,checkout
E-1091,C-059,2026-03-29T18:56:00,login
E-1092,C-059,2026-03-29T18:57:24,view_product
E-473,C-029,2026-03-29T20:47:00,login
E-474,C-029,2026-03-29T20:48:23,view_product
E-475,C-029,2026-03-29T20:49:23,add_to_cart
E-476,C-029,2026-03-29T20:50:07,checkout
E-767,C-042,2026-03-30T11:25:56,view_product
E-768,C-042,2026-03-30T11:26:47,view_product
E-769,C-042,2026-03-30T11:27:50,view_product
E-770,C-042,2026-03-30T11:28:41,add_to_cart
E-771,C-042,2026-03-30T11:29:34,checkout
E-852,C-048,2026-03-30T19:12:00,login
E-853,C-048,2026-03-30T19:13:05,view_product
E-477,C-029,2026-03-30T20:18:00,login
E-478,C-029,2026-03-30T20:19:22,view_product
E-479,C-029,2026-03-30T20:20:30,view_product
E-480,C-029,2026-03-30T20:21:05,view_product
E-937,C-051,2026-03-30T21:15:00,login
E-938,C-051,2026-03-30T21:16:05,view_product
E-939,C-051,2026-03-30T21:17:22,view_product
E-940,C-051,2026-03-30T21:17:55,view_product
E-994,C-054,2026-03-31T08:16:00,login
E-995,C-054,2026-03-31T08:17:05,view_product
E-996,C-054,2026-03-31T08:17:55,add_to_cart
E-291,C-018,2026-03-31T09:39:45,view_product
E-292,C-018,2026-03-31T09:41:03,view_product
E-293,C-018,2026-03-31T09:42:32,view_product
E-294,C-018,2026-03-31T09:43:11,add_to_cart
E-295,C-018,2026-03-31T09:44:29,checkout
E-917,C-050,2026-03-31T12:14:00,login
E-918,C-050,2026-03-31T12:15:13,view_product
E-481,C-029,2026-03-31T20:38:00,login
E-482,C-029,2026-03-31T20:38:21,view_product
E-483,C-029,2026-03-31T20:39:37,view_product
E-544,C-031,2026-04-02T10:04:00,login
E-545,C-031,2026-04-02T10:05:01,view_product
E-546,C-031,2026-04-02T10:06:02,view_product
E-547,C-031,2026-04-02T10:07:06,view_product
E-60,C-006,2026-04-02T21:30:00,login
E-61,C-006,2026-04-02T21:30:59,view_product
E-62,C-006,2026-04-02T21:31:53,view_product
E-1012,C-055,2026-04-03T12:45:24,view_product
E-1013,C-055,2026-04-03T12:46:42,view_product
